Code, Label, LangCode
"420", "Afrique Sub Saharienne", "FR"
"390", "Afrique Subsaharienne", "FR"
"5809", "Afrique Subsaharienne (Afique du Sud Excl)", "FR"
"5810", "Afrique Subsaharienne (Afique du Sud Incl)", "FR"
"413", "Afrique, Caraíbes, Pacif ST", "FR"
"462", "ALADI", "FR"
"3", "Albanie", "FR"
"431", "ALECE", "FR"
"4", "Algérie", "FR"
"79", "Allemagne", "FR"
"78", "Allemagne Fr", "FR"
"77", "Allemagne Nl", "FR"
"328", "Amerique Cent & Caraïbes", "FR"
"316", "Amérique Central", "FR"
"5204", "Amérique Centrale", "FR"
"428", "Amérique du Nord", "FR"
"5201", "Amérique du Nord", "FR"
"302", "Amérique du Nord Develop", "FR"
"318", "Amérique du Sud", "FR"
"5202", "Amérique du Sud", "FR"
"5207", "Amérique du Sud", "FR"
"348", "Amérique Latine", "FR"
"315", "Amérique Latine et Caraïbes", "FR"
"5205", "Amérique Latine et Caraïbes", "FR"
"336", "Amérique Nord & Centrale", "FR"
"326", "Amérique Nord en Develop", "FR"
"5203", "Amérique Nordique", "FR"
"5200", "Amériques", "FR"
"412", "ANASE", "FR"
"6", "Andorre", "FR"
"7", "Angola", "FR"
"258", "Anguilla", "FR"
"30", "Antarctique", "FR"
"8", "Antigua-et-Barbuda", "FR"
"151", "Antilles néerlandaises", "FR"
"194", "Arabie saoudite", "FR"
"9", "Argentine", "FR"
"1", "Arménie", "FR"
"22", "Aruba", "FR"
"437", "ASACR", "FR"
"360", "Asie", "FR"
"802", "Asie", "FR"
"860", "Asie", "FR"
"5300", "Asie", "FR"
"370", "Asie (ex)", "FR"
"870", "Asie (ex)", "FR"
"5301", "Asie Centrale", "FR"
"5302", "Asie de l'Est", "FR"
"5305", "Asie de l'Ouest", "FR"
"343", "Asie Développée", "FR"
"323", "Asie du Sud", "FR"
"5303", "Asie du Sud", "FR"
"5304", "Asie du Sud-Est", "FR"
"347", "Asie en Développement", "FR"
"847", "Asie en Développement", "FR"
"423", "Asie et Pacifique", "FR"
"324", "Asie Sud Orientale", "FR"
"337", "Asie Sud Orientale", "FR"
"5812", "Asie Sud Orientale (Chine Excl)", "FR"
"5813", "Asie Sud Orientale (Chine Incl)", "FR"
"332", "Asie Sudoriental & Chine", "FR"
"832", "Asie Sudoriental & Chine", "FR"
"804", "AsieSuOr&Chn", "FR"
"424", "AsieSuOr&Chn&Japon", "FR"
"10", "Australie", "FR"
"5501", "Australie et Nouvelle-Zélande", "FR"
"307", "Autorité Intergv Dévpmnt", "FR"
"254", "Autres (ajustement)", "FR"
"358", "Autres Pays Développés", "FR"
"11", "Autriche", "FR"
"52", "Azerbaïdjan", "FR"
"12", "Bahamas", "FR"
"13", "Bahreïn", "FR"
"308", "Balte, Assemblée", "FR"
"16", "Bangladesh", "FR"
"14", "Barbade", "FR"
"479", "BCEPS", "FR"
"57", "Bélarus", "FR"
"255", "Belgique", "FR"
"15", "Belgique-Luxembourg", "FR"
"23", "Belize", "FR"
"53", "Bénin", "FR"
"17", "Bermudes", "FR"
"18", "Bhoutan", "FR"
"19", "Bolivie (État plurinational de)", "FR"
"80", "Bosnie-Herzégovine", "FR"
"20", "Botswana", "FR"
"21", "Brésil", "FR"
"26", "Brunéi Darussalam", "FR"
"27", "Bulgarie", "FR"
"443", "Bureau Rég Afrique", "FR"
"444", "Bureau Rég Am lat & Car", "FR"
"352", "Bureau Rég Asie&Pacifiq", "FR"
"852", "Bureau Rég Asie&Pacifiq", "FR"
"445", "Bureau Reg Europe", "FR"
"353", "Bureau Rég Proche-Orient", "FR"
"233", "Burkina Faso", "FR"
"29", "Burundi", "FR"
"115", "Cambodge", "FR"
"32", "Cameroun", "FR"
"33", "Canada", "FR"
"35", "Cap-Vert", "FR"
"317", "Caraïbes", "FR"
"5206", "Caraïbes", "FR"
