FeatureCode,Commodity,FurtherCode,CropStage,StartDate,EndDate
75,100700,1,4,1900-06-01,1900-07-21
75,100700,1,1,1900-08-01,1900-11-21
75,100700,1,3,1900-12-01,1900-02-11
77,100300,1,4,1900-06-01,1900-08-11
77,100300,1,1,1900-08-21,1900-11-01
77,100300,1,3,1900-11-11,1900-12-21
77,1005,1,4,1900-06-01,1900-07-21
77,1005,1,1,1900-08-01,1900-10-21
77,1005,1,3,1900-11-01,1900-12-11
77,100820,1,4,1900-06-01,1900-07-21
77,100820,1,1,1900-08-01,1900-10-21
77,100820,1,3,1900-11-01,1900-12-21
77,100700,1,4,1900-06-01,1900-07-21
77,100700,1,1,1900-08-01,1900-10-21
